,i_dataset,shd_w,sid_w,fn_w,fp_w,rev_w,shd_a,sid_a,fn_a,fp_a,rev_a,shd_wa,sid_wa,fn_wa,fp_wa,rev_wa
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,26.0,77.0,0.0,26.0,0.0,11.0,,0.0,11.0,0.0,37.0,125.0,0.0,37.0,0.0
0,2,27.0,42.0,0.0,27.0,0.0,31.0,,0.0,31.0,0.0,58.0,78.0,0.0,58.0,0.0
0,3,52.0,90.0,1.0,51.0,0.0,16.0,,0.0,16.0,0.0,68.0,136.0,1.0,67.0,0.0
0,4,20.0,34.0,1.0,19.0,0.0,16.0,,0.0,16.0,0.0,36.0,94.0,1.0,35.0,0.0
0,5,32.0,90.0,0.0,32.0,0.0,23.0,,0.0,23.0,0.0,55.0,138.0,0.0,55.0,0.0
0,6,48.0,90.0,1.0,47.0,0.0,28.0,,1.0,27.0,0.0,76.0,139.0,2.0,74.0,0.0
0,7,44.0,72.0,0.0,44.0,0.0,22.0,,1.0,21.0,0.0,66.0,109.0,1.0,65.0,0.0
0,8,48.0,90.0,0.0,48.0,0.0,29.0,,2.0,27.0,0.0,77.0,133.0,2.0,75.0,0.0
0,9,38.0,86.0,1.0,37.0,0.0,19.0,,0.0,19.0,0.0,57.0,143.0,1.0,56.0,0.0
0,10,46.0,72.0,0.0,46.0,0.0,44.0,,1.0,43.0,0.0,90.0,88.0,1.0,89.0,0.0
